"","handle","division","max_division","rating","max_rating","color","total_problems"
"43","claudiosegala","Specialist","Specialist",1516,1580,"cyan",388
"44","Teshugo","Specialist","Expert",1516,1636,"cyan",805
"45","kesp","Specialist","Expert",1511,1607,"cyan",677
"46","pablo_aaaa","Specialist","Specialist",1509,1574,"cyan",1149
"47","Belphy","Specialist","Specialist",1495,1511,"cyan",827
"48","Rafael.a.t","Specialist","Specialist",1488,1581,"cyan",58
"49","igorduarte","Specialist","Expert",1486,1607,"cyan",401
"50","vitordullens","Specialist","Specialist",1466,1466,"cyan",92
"51","pedrodelyra","Specialist","Expert",1463,1644,"cyan",384
"52","vitorbarbosa","Specialist","Specialist",1459,1459,"cyan",226
"53","pimenta","Specialist","Expert",1457,1765,"cyan",543
"54","andre_rei","Specialist","Specialist",1439,1545,"cyan",125
"55","roberto.matheus","Specialist","Specialist",1436,1436,"cyan",3
"56","NurCorezzi","Specialist","Specialist",1430,1592,"cyan",933
"57","EYZ","Specialist","Expert",1429,1717,"cyan",2407
"58","rogeriojunior","Specialist","Specialist",1426,1426,"cyan",177
"59","iasmimqf","Specialist","Specialist",1425,1425,"cyan",167
"60","Yurick","Specialist","Specialist",1415,1415,"cyan",3
"61","felipe_massa","Specialist","Specialist",1413,1507,"cyan",398
"62","emersonjr02","Specialist","Specialist",1411,1411,"cyan",1027
"63","crisjoejr","Specialist","Specialist",1407,1407,"cyan",7
"64","Poyekhali","Specialist","Specialist",1405,1405,"cyan",2
"65","mralves","Specialist","Specialist",1404,1484,"cyan",569
"66","adelsonjhonata","Pupil","Pupil",1398,1398,"green3",62
"67","LilSantos","Pupil","Pupil",1385,1385,"green3",80
"68","Jarmantonio23","Pupil","Pupil",1382,1382,"green3",0
"69","labm1997","Pupil","Specialist",1382,1450,"green3",78
"70","nadicas","Pupil","Pupil",1375,1389,"green3",17
"71","catarino007","Pupil","Pupil",1373,1373,"green3",9
"72","gabrieladslopes","Pupil","Pupil",1371,1371,"green3",0
"73","CarolFP","Pupil","Pupil",1370,1370,"green3",0
"74","caiofporphirio","Pupil","Pupil",1364,1383,"green3",19
"75","HectorID","Pupil","Specialist",1350,1425,"green3",7
"76","tsrrodrigues","Pupil","Specialist",1350,1420,"green3",145
"77","pedrinho","Pupil","Pupil",1344,1344,"green3",518
"78","Gguidini","Pupil","Expert",1341,1608,"green3",237
"79","silassf","Pupil","Pupil",1320,1378,"green3",3
"80","pedrohmsantana","Pupil","Pupil",1320,1383,"green3",8
"81","leomedeiros","Pupil","Specialist",1320,1468,"green3",212
"82","samuelpala","Pupil","Specialist",1317,1425,"green3",7
"83","MarcosF","Pupil","Pupil",1309,1397,"green3",13
"84","isasouza","Pupil","Pupil",1308,1308,"green3",483
"85","DGuedes","Pupil","Pupil",1307,1382,"green3",200
"86","VictorJorge","Pupil","Specialist",1295,1423,"green3",317
"87","zfortes","Pupil","Pupil",1289,1397,"green3",52
"88","matheusiron5","Pupil","Pupil",1281,1388,"green3",2
"89","michelvmelo","Pupil","Pupil",1269,1371,"green3",3
"90","gabriel-alcantara","Pupil","Pupil",1267,1376,"green3",59
"91","Retainer","Pupil","Specialist",1263,1416,"green3",484
"92","GabrielFritz","Pupil","Specialist",1260,1418,"green3",47
"93","The_Programmer011","Pupil","Specialist",1256,1408,"green3",14
"94","gabrielevi","Pupil","Specialist",1249,1410,"green3",380
"95","icaro","Pupil","Specialist",1249,1423,"green3",78
"96","TheRockRocha","Pupil","Pupil",1246,1246,"green3",441
"97","jalmeida","Pupil","Specialist",1241,1410,"green3",3
"98","StarkWolves","Pupil","Specialist",1241,1416,"green3",51
"99","pedrokelvin","Pupil","Specialist",1239,1418,"green3",4
"100","ftoyoshima","Pupil","Specialist",1237,1463,"green3",98
"101","lamaral","Pupil","Pupil",1236,1383,"green3",18
"102","jg05","Pupil","Pupil",1236,1383,"green3",7
"103","dudaholandah","Pupil","Pupil",1234,1234,"green3",549
"104","Daltro-Oliveira-Vinuto","Pupil","Specialist",1232,1407,"green3",7
"105","PedroPacoca","Pupil","Pupil",1227,1227,"green3",205
"106","caio-felipee","Pupil","Pupil",1223,1223,"green3",251
"107","Dayoff","Pupil","Pupil",1214,1385,"green3",12
"108","faustino","Newbie","Pupil",1195,1394,"gray",738
"109","dbranco","Newbie","Specialist",1185,1468,"gray",40
"110","arturhbs","Newbie","Pupil",1179,1371,"gray",13
"111","strogoLoff","Newbie","Specialist",1178,1466,"gray",244
"112","leorodrigues","Newbie","Specialist",1176,1420,"gray",180
"113","lucas.mattioli","Newbie","Newbie",1164,1164,"gray",10
"114","dutra","Newbie","Pupil",1163,1376,"gray",136
"115","JonathanRufino","Newbie","Pupil",1149,1379,"gray",1
"116","lucasg05","Newbie","Pupil",1142,1304,"gray",501
"117","victorlisboa","Newbie","Newbie",1136,1136,"gray",415
"118","igorfg","Newbie","Pupil",1134,1396,"gray",162
"119","renatasoares","Newbie","Pupil",1132,1383,"gray",23
"120","Andrey_mzp","Newbie","Pupil",1122,1383,"gray",107
"121","jadermcs","Newbie","Pupil",1121,1383,"gray",57
"122","M4ycon","Newbie","Newbie",1117,1125,"gray",216
"123","bumbleblo","Newbie","Specialist",1112,1461,"gray",272
"124","joaoc","Newbie","Newbie",1111,1111,"gray",370
"125","vbazuke","Newbie","Pupil",1106,1381,"gray",10
"126","LucasABM","Newbie","Newbie",1101,1101,"gray",141
"127","arthurxsz","Newbie","Newbie",1094,1094,"gray",205
"128","Mateus","Newbie","Pupil",1090,1382,"gray",238
"129","gabriel.costa513","Newbie","Pupil",1081,1203,"gray",404
"130","Angelic_Coder","Newbie","Pupil",1080,1383,"gray",35
"131","lopes05","Newbie","Pupil",1071,1382,"gray",61
"132","josembs","Newbie","Newbie",1068,1068,"gray",173
"133","raphaelplm","Newbie","Pupil",1062,1373,"gray",120
"134","joaocout","Newbie","Pupil",1062,1389,"gray",87
"135","Joaovictors","Newbie","Specialist",1061,1440,"gray",167
"136","bitterteriyaki","Newbie","Newbie",1057,1057,"gray",17
"137","avio11","Newbie","Specialist",1054,1404,"gray",45
"138","victorac97","Newbie","Pupil",1047,1393,"gray",20
"139","SamuelSilvino","Newbie","Specialist",1034,1408,"gray",8
"140","LuanSantos","Newbie","Newbie",1032,1032,"gray",47
"141","guilhermedelyra","Newbie","Pupil",1030,1373,"gray",139
"142","abdullah.zaiter","Newbie","Specialist",1026,1406,"gray",3
"143","LuanP","Newbie","Specialist",1025,1453,"gray",130
"144","NightOff","Newbie","Pupil",1023,1371,"gray",112
"145","viniciusrpb","Newbie","Specialist",1021,1431,"gray",108
"146","nunesgrf","Newbie","Pupil",1018,1377,"gray",254
"147","Duds","Newbie","Newbie",1015,1023,"gray",379
"148","tapumar","Newbie","Specialist",1009,1444,"gray",34
"149","alexandrebarbaruiva","Newbie","Specialist",1002,1433,"gray",21
"150","evarildo","Newbie","Pupil",986,1380,"gray",25
"151","G_Cesario","Newbie","Pupil",985,1369,"gray",341
"152","leorb99","Newbie","Newbie",980,980,"gray",71
"153","hsales","Newbie","Newbie",978,978,"gray",108
"154","pedro_maschio","Newbie","Pupil",978,1371,"gray",554
"155","cardosaum","Newbie","Newbie",976,976,"gray",156
"156","AlbertTSoares","Newbie","Newbie",975,975,"gray",61
"157","tutukiller","Newbie","Newbie",972,1019,"gray",82
"158","mathbergsant","Newbie","Newbie",968,968,"gray",79
"159","Nosgueira","Newbie","Pupil",966,1387,"gray",336
"160","durvalcsouza","Newbie","Pupil",964,1366,"gray",315
"161","Gagarin","Newbie","Specialist",963,1403,"gray",357
"162","Pedenite","Newbie","Newbie",961,961,"gray",111
"163","dartmol203","Newbie","Newbie",956,1026,"gray",42
"164","Laninha","Newbie","Newbie",952,952,"gray",162
"165","zikadozap","Newbie","Pupil",950,1379,"gray",87
"166","Vinicius_Araujo","Newbie","Newbie",930,977,"gray",115
"167","gustavo.cavalcante","Newbie","Pupil",925,1374,"gray",24
"168","carolestrella","Newbie","Pupil",921,1372,"gray",301
"169","Joao.F","Newbie","Newbie",904,1036,"gray",245
"170","vrenan","Newbie","Newbie",902,933,"gray",123
"171","luizschonarth","Newbie","Newbie",889,889,"gray",76
"172","Shothogun","Newbie","Newbie",878,878,"gray",150
"173","anascimento","Newbie","Pupil",876,1374,"gray",340
"174","lucasgabriel_2","Newbie","Newbie",865,997,"gray",36
"175","felipecosta11","Newbie","Newbie",855,855,"gray",141
"176","luri_cl","Newbie","Newbie",855,855,"gray",105
"177","caioom00","Newbie","Pupil",848,1266,"gray",383
"178","gustavoasb","Newbie","Newbie",841,944,"gray",95
"179","kleberjr","Newbie","Newbie",839,839,"gray",61
"180","brenocolima","Newbie","Newbie",828,828,"gray",62
"181","anakomatsu","Newbie","Newbie",825,825,"gray",102
"182","elisrb","Newbie","Newbie",825,825,"gray",104
"183","laranja","Newbie","Newbie",825,876,"gray",76
"184","Mario.Augusto.Santos","Newbie","Newbie",821,821,"gray",88
"185","dekomonte","Newbie","Pupil",818,1375,"gray",112
"186","adriellymd","Newbie","Newbie",803,803,"gray",68
"187","Schatten900","Newbie","Newbie",801,801,"gray",87
"188","seraphritt","Newbie","Newbie",786,965,"gray",231
"189","matglalves","Newbie","Newbie",778,844,"gray",76
"190","Joaofs","Newbie","Pupil",768,1386,"gray",199
"191","Venoninho","Newbie","Newbie",755,755,"gray",69
"192","gss214","Newbie","Pupil",753,1366,"gray",209
"193","Thiagovisk","Newbie","Newbie",715,715,"gray",17
"194","Cadu","Newbie","Pupil",672,1366,"gray",222
"195","ribas858","Newbie","Pupil",651,1380,"gray",6
"196","xMyth","Newbie","Newbie",647,647,"gray",316
"197","rcamposnunes","Newbie","Newbie",640,824,"gray",109
"198","pedrofernandess","Newbie","Newbie",627,627,"gray",62
"199","maldisco","Newbie","Newbie",600,600,"gray",71
"200","lucaspework","Newbie","Newbie",588,588,"gray",53
