"","handle","division","max_division","rating","max_rating","color","total_problems"
"1","cebolinha","International Master","International Master",2311,2316,"orange",1888
"2","fofao_funk","Master","Master",2265,2265,"yellow",1876
"3","Nson","Master","International Master",2193,2398,"yellow",3651
"4","Agohal","Master","Master",2175,2184,"yellow",158
"5","AlbertoTDNeto","Master","Master",2121,2205,"yellow",2915
"6","Lius","Candidate Master","Master",2083,2242,"purple",2085
"7","arthur_9548","Candidate Master","Candidate Master",2028,2045,"purple",744
"8","Vilsu","Candidate Master","Candidate Master",2027,2027,"purple",1065
"9","pedrohlf","Candidate Master","Master",2020,2167,"purple",1462
"10","LeoRiether","Candidate Master","Master",1992,2196,"purple",2890
"11","lucassala","Candidate Master","Candidate Master",1987,1987,"purple",1240
"12","Tiagodfs","Candidate Master","Candidate Master",1962,2061,"purple",2982
"13","edsomjr","Candidate Master","Candidate Master",1907,1907,"purple",960
"14","TioGui","Candidate Master","Candidate Master",1903,1903,"purple",41
"15","rchehab","Expert","Candidate Master",1869,1909,"blue",608
"16","MagePetrus","Expert","Candidate Master",1860,1946,"blue",864
"17","wallacelw","Expert","Candidate Master",1836,1921,"blue",1247
"18","wrau","Expert","Expert",1823,1823,"blue",28
"19","PedroGallo","Expert","Candidate Master",1762,1915,"blue",1255
"20","mmello","Expert","Master",1716,2111,"blue",1302
"21","duduFreire","Expert","Expert",1686,1686,"blue",767
"22","duerno","Expert","Expert",1682,1698,"blue",109
"23","Maxwell01","Expert","Expert",1672,1755,"blue",2230
"24","tilnoene","Expert","Expert",1665,1764,"blue",1561
"25","marlonbymendes","Expert","Expert",1656,1656,"blue",743
"26","Gtaumaturgo","Expert","Expert",1654,1770,"blue",1191
"27","Thalisson_Alves","Expert","Expert",1637,1832,"blue",743
"28","Varguitas","Expert","Expert",1637,1729,"blue",1346
"29","Iagorrr","Expert","Expert",1636,1636,"blue",750
"30","henriqueramos.qs","Expert","Expert",1630,1641,"blue",1364
"31","calebmartim","Expert","Expert",1628,1679,"blue",1036
"32","arthurkomatsu","Expert","Expert",1622,1679,"blue",348
"33","Caiogoia","Expert","Expert",1620,1708,"blue",1333
"34","simiao","Expert","Expert",1615,1812,"blue",561
"35","RenatoBA","Expert","Expert",1615,1636,"blue",654
"36","liaoli","Expert","Expert",1608,1608,"blue",1208
"37","cristianobrust","Expert","Expert",1606,1633,"blue",288
"38","AndreBtt","Expert","Expert",1605,1671,"blue",1021
"39","arthuretf","Specialist","Specialist",1554,1554,"cyan",438
"40","caioicy","Specialist","Specialist",1547,1593,"cyan",12
"41","Lucas_IV","Specialist","Expert",1538,1643,"cyan",30
"42","hqrno","Specialist","Expert",1534,1669,"cyan",119
