"handle" "division" "max_division" "rating" "max_rating" "total_problems"
"101" "ftoyoshima" "Pupil" "Specialist" 1237 1463 98
"102" "lamaral" "Pupil" "Pupil" 1236 1383 18
"103" "jg05" "Pupil" "Pupil" 1236 1383 7
"104" "dudaholandah" "Pupil" "Pupil" 1234 1234 549
"105" "Daltro-Oliveira-Vinuto" "Pupil" "Specialist" 1232 1407 7
"106" "caio-felipee" "Pupil" "Pupil" 1223 1223 249
"107" "Dayoff" "Pupil" "Pupil" 1214 1385 12
"108" "faustino" "Newbie" "Pupil" 1195 1394 738
"109" "dbranco" "Newbie" "Specialist" 1185 1468 40
"110" "arturhbs" "Newbie" "Pupil" 1179 1371 13
"111" "strogoLoff" "Newbie" "Specialist" 1178 1466 244
"112" "leorodrigues" "Newbie" "Specialist" 1176 1420 180
"113" "lucas.mattioli" "Newbie" "Newbie" 1164 1164 10
"114" "dutra" "Newbie" "Pupil" 1163 1376 136
"115" "gabriel.costa513" "Newbie" "Pupil" 1151 1203 385
"116" "JonathanRufino" "Newbie" "Pupil" 1149 1379 1
"117" "lucasg05" "Newbie" "Pupil" 1142 1304 484
"118" "victorlisboa" "Newbie" "Newbie" 1136 1136 415
"119" "igorfg" "Newbie" "Pupil" 1134 1396 162
"120" "renatasoares" "Newbie" "Pupil" 1132 1383 23
"121" "Andrey_mzp" "Newbie" "Pupil" 1122 1383 107
"122" "jadermcs" "Newbie" "Pupil" 1121 1383 57
"123" "M4ycon" "Newbie" "Newbie" 1117 1125 216
"124" "arthurxsz" "Newbie" "Newbie" 1116 1116 197
"125" "bumbleblo" "Newbie" "Specialist" 1112 1461 272
"126" "vbazuke" "Newbie" "Pupil" 1106 1381 10
"127" "LucasABM" "Newbie" "Newbie" 1101 1101 141
"128" "Mateus" "Newbie" "Pupil" 1090 1382 238
"129" "Angelic_Coder" "Newbie" "Pupil" 1080 1383 35
"130" "lopes05" "Newbie" "Pupil" 1071 1382 61
"131" "joaoc" "Newbie" "Newbie" 1066 1095 355
"132" "raphaelplm" "Newbie" "Pupil" 1062 1373 120
"133" "joaocout" "Newbie" "Pupil" 1062 1389 87
"134" "Joaovictors" "Newbie" "Specialist" 1061 1440 167
"135" "bitterteriyaki" "Newbie" "Newbie" 1057 1057 17
"136" "avio11" "Newbie" "Specialist" 1054 1404 45
"137" "victorac97" "Newbie" "Pupil" 1047 1393 20
"138" "josembs" "Newbie" "Newbie" 1041 1041 163
"139" "SamuelSilvino" "Newbie" "Specialist" 1034 1408 8
"140" "guilhermedelyra" "Newbie" "Pupil" 1030 1373 139
"141" "abdullah.zaiter" "Newbie" "Specialist" 1026 1406 3
"142" "LuanP" "Newbie" "Specialist" 1025 1453 130
"143" "NightOff" "Newbie" "Pupil" 1023 1371 112
"144" "viniciusrpb" "Newbie" "Specialist" 1021 1431 108
"145" "nunesgrf" "Newbie" "Pupil" 1018 1377 254
"146" "Duds" "Newbie" "Newbie" 1015 1023 379
"147" "tapumar" "Newbie" "Specialist" 1009 1444 34
"148" "alexandrebarbaruiva" "Newbie" "Specialist" 1002 1433 21
"149" "evarildo" "Newbie" "Pupil" 986 1380 25
"150" "G_Cesario" "Newbie" "Pupil" 985 1369 341
"151" "leorb99" "Newbie" "Newbie" 980 980 70
"152" "pedro_maschio" "Newbie" "Pupil" 978 1371 554
"153" "cardosaum" "Newbie" "Newbie" 976 976 156
"154" "AlbertTSoares" "Newbie" "Newbie" 975 975 61
"155" "tutukiller" "Newbie" "Newbie" 972 1019 82
"156" "Nosgueira" "Newbie" "Pupil" 966 1387 336
"157" "durvalcsouza" "Newbie" "Pupil" 964 1366 315
"158" "Gagarin" "Newbie" "Specialist" 963 1403 357
"159" "Pedenite" "Newbie" "Newbie" 961 961 111
"160" "dartmol203" "Newbie" "Newbie" 956 1026 42
"161" "zikadozap" "Newbie" "Pupil" 950 1379 87
"162" "LuanSantos" "Newbie" "Newbie" 945 945 43
"163" "mathbergsant" "Newbie" "Newbie" 943 974 70
"164" "Vinicius_Araujo" "Newbie" "Newbie" 930 977 115
"165" "gustavo.cavalcante" "Newbie" "Pupil" 925 1374 24
"166" "hsales" "Newbie" "Newbie" 922 922 105
"167" "carolestrella" "Newbie" "Pupil" 921 1372 301
"168" "Laninha" "Newbie" "Newbie" 910 910 150
"169" "Joao.F" "Newbie" "Newbie" 904 1036 243
"170" "vrenan" "Newbie" "Newbie" 902 933 123
"171" "luizschonarth" "Newbie" "Newbie" 889 889 76
"172" "Shothogun" "Newbie" "Newbie" 878 878 150
"173" "anascimento" "Newbie" "Pupil" 876 1374 340
"174" "lucasgabriel_2" "Newbie" "Newbie" 865 997 36
"175" "felipecosta11" "Newbie" "Newbie" 855 855 136
"176" "luri_cl" "Newbie" "Newbie" 855 855 105
"177" "caioom00" "Newbie" "Pupil" 848 1266 383
"178" "gustavoasb" "Newbie" "Newbie" 841 944 95
